Phone,Email,CreditScore,AgeGroup,FamilyBackground,Income,Clicks,TimeOnSite,CityTier,Comments,Intent
+91-8608637542,user0@test.com,565,51+,Married with Kids,291330,19,1.8915285454666186,T3,just browsing,0
+91-7787846414,user1@test.com,821,26-35,Married with Kids,945871,18,0.24300062165865444,T1,just browsing,0
+91-9571218620,user2@test.com,795,36-50,Married with Kids,306271,5,0.46166155323921876,T2,call later,0
+91-9563451924,user3@test.com,552,36-50,Single,565652,10,8.356243119306034,T3,looking for 3BHK,0
+91-7670094950,user4@test.com,594,51+,Single,400499,16,8.0380397060064,T2,not interested,1
+91-8914837113,user5@test.com,457,36-50,Married,842692,8,1.4072236080817924,T3,looking for 3BHK,1
+91-7669991378,user6@test.com,848,36-50,Single,945821,4,6.6789525285109885,T1,call later,0
+91-7429389014,user7@test.com,366,26-35,Married with Kids,640072,4,7.456442946922676,T3,call later,0
+91-7249467210,user8@test.com,598,36-50,Single,858276,15,0.5127453988407116,T3,not interested,1
+91-8972458954,user9@test.com,762,36-50,Married with Kids,960364,3,0.8854350760148222,T1,not interested,0
+91-8433267572,user10@test.com,400,26-35,Married with Kids,500563,19,5.6301769557680545,T2,just browsing,0
+91-9581769315,user11@test.com,355,51+,Single,447664,12,3.741504937604112,T3,call later,0
+91-7613608295,user12@test.com,631,51+,Single,274169,16,6.993912340204732,T1,just browsing,0
+91-9795544706,user13@test.com,692,26-35,Single,974995,8,5.576883310996656,T1,not interested,0
+91-7088409749,user14@test.com,680,18-25,Single,445277,12,0.3102160770597562,T1,call later,1
+91-7242285876,user15@test.com,391,26-35,Married,942931,15,6.836785448014185,T3,call later,0
+91-7911989541,user16@test.com,746,18-25,Single,638360,19,2.0391799651757845,T2,urgent,0
+91-7003344769,user17@test.com,408,36-50,Married,374170,9,3.1259984535366003,T3,call later,0
+91-7780932287,user18@test.com,616,51+,Married with Kids,856755,9,7.363893264705185,T3,just browsing,1
+91-7787716372,user19@test.com,467,18-25,Married,609286,19,7.712534006662116,T3,urgent,0
+91-9652062880,user20@test.com,734,18-25,Married with Kids,152832,15,3.4581458977214288,T1,call later,1
+91-8306710475,user21@test.com,741,36-50,Married,403110,19,0.8922719134970791,T2,urgent,0
+91-9627030329,user22@test.com,517,51+,Married,131041,0,7.696728385107727,T3,call later,0
+91-9253811733,user23@test.com,521,36-50,Married with Kids,458667,10,8.70210186658791,T2,looking for 3BHK,1
+91-7030349564,user24@test.com,827,51+,Married,824394,12,9.643121444887669,T3,just browsing,1
+91-8855189739,user25@test.com,577,51+,Married with Kids,616391,17,3.1782691114730985,T2,just browsing,1
+91-7099052376,user26@test.com,765,36-50,Single,245977,4,1.238520852298255,T1,urgent,0
+91-8250819632,user27@test.com,329,18-25,Married with Kids,203810,3,9.376606339489891,T2,looking for 3BHK,1
+91-9253890010,user28@test.com,658,26-35,Married,845735,5,3.997656906859406,T1,urgent,0
+91-9627888186,user29@test.com,587,51+,Single,429817,14,0.9353396291545368,T1,urgent,0
+91-8717389822,user30@test.com,385,51+,Married,222343,1,4.98780957395045,T2,not interested,0
+91-7599121577,user31@test.com,533,26-35,Single,312554,3,1.905245290265395,T3,urgent,0
+91-7200427519,user32@test.com,612,26-35,Married with Kids,452188,13,3.552786838876294,T3,call later,0
+91-8254751707,user33@test.com,664,36-50,Single,154100,3,3.2035027795454973,T3,not interested,0
+91-8573512143,user34@test.com,568,51+,Single,443300,17,9.87286867447736,T3,not interested,1
+91-7999745294,user35@test.com,430,36-50,Single,442503,19,6.395132485108767,T2,urgent,0
+91-8958805693,user36@test.com,650,26-35,Married,202169,15,4.918026804724494,T3,not interested,0
+91-7389151677,user37@test.com,479,36-50,Single,482280,8,5.137524017055796,T3,just browsing,1
+91-9655947709,user38@test.com,779,51+,Married with Kids,202800,7,6.040886877310744,T1,not interested,0
+91-7857592370,user39@test.com,462,18-25,Married with Kids,743428,10,8.72754517947202,T2,not interested,0
+91-8642661739,user40@test.com,395,18-25,Married with Kids,462994,13,1.4598228748084952,T1,call later,0
+91-9208620086,user41@test.com,809,51+,Single,309330,16,5.996330423480744,T1,just browsing,0
+91-9544401215,user42@test.com,664,36-50,Married with Kids,190230,12,3.221829042471702,T3,not interested,0
+91-9004731384,user43@test.com,652,26-35,Married,959182,7,5.714022088252031,T3,call later,1
+91-7199502978,user44@test.com,735,26-35,Married with Kids,852807,13,5.177309453182019,T2,just browsing,0
+91-9609385266,user45@test.com,382,18-25,Single,244382,10,0.29934180218033624,T1,not interested,1
+91-9921898630,user46@test.com,524,36-50,Married with Kids,724987,8,5.824646267915168,T3,urgent,1
+91-7732395540,user47@test.com,711,26-35,Single,189591,7,7.092138633046741,T1,not interested,0
+91-8934879560,user48@test.com,417,26-35,Single,835770,13,2.4599966817095167,T3,just browsing,1
+91-7279394470,user49@test.com,781,51+,Married with Kids,521159,14,1.068686597550419,T3,not interested,0
+91-7056972561,user50@test.com,491,36-50,Married,883872,0,2.116444562248555,T3,just browsing,0
+91-9419304461,user51@test.com,406,36-50,Married,787277,11,6.3641286157739945,T3,urgent,1
+91-8655351289,user52@test.com,681,26-35,Married with Kids,810026,4,4.68792771769709,T2,not interested,0
+91-8308306184,user53@test.com,689,36-50,Single,232774,13,8.653047284828054,T1,just browsing,0
+91-7068574553,user54@test.com,543,36-50,Married with Kids,682161,15,2.8498841861894517,T1,call later,0
+91-7419498548,user55@test.com,767,36-50,Single,534478,18,3.650979193882532,T2,not interested,1
+91-7991681409,user56@test.com,837,51+,Single,376681,15,5.280501222607286,T2,urgent,0
+91-9938758483,user57@test.com,509,26-35,Single,705716,6,4.600168486790064,T2,call later,0
+91-8035196507,user58@test.com,372,18-25,Married,513851,2,5.477612898827365,T3,not interested,1
+91-8890440558,user59@test.com,608,36-50,Married,652832,7,3.12088340740687,T3,just browsing,0
+91-9934594491,user60@test.com,485,26-35,Married with Kids,427693,13,1.6667107634504896,T1,looking for 3BHK,0
+91-7524150214,user61@test.com,552,18-25,Married,221875,19,8.033156490423751,T2,call later,0
+91-9619915691,user62@test.com,312,51+,Single,938387,2,0.39295255581213717,T1,just browsing,0
+91-9126768636,user63@test.com,598,26-35,Single,870936,10,3.6970537749170473,T2,call later,0
+91-7147697582,user64@test.com,375,51+,Married with Kids,210024,13,0.8740188095081658,T1,not interested,0
+91-7744595490,user65@test.com,350,26-35,Single,530524,1,7.363284263050493,T2,urgent,0
+91-8679592528,user66@test.com,448,51+,Married with Kids,304698,3,3.6551314460159903,T2,urgent,0
+91-8111451555,user67@test.com,421,26-35,Married with Kids,364313,4,0.3004970292369702,T3,call later,0
+91-7782698033,user68@test.com,510,51+,Single,472208,18,0.7587535977331417,T1,looking for 3BHK,0
+91-9845511527,user69@test.com,579,18-25,Married,896855,9,1.985986157839137,T3,not interested,1
+91-8338788865,user70@test.com,837,26-35,Single,273875,1,7.869155321362512,T3,just browsing,1
+91-8826030589,user71@test.com,455,18-25,Single,873699,2,7.991884050823521,T1,not interested,0
+91-9233675141,user72@test.com,537,36-50,Married with Kids,193988,14,9.966125552840314,T3,looking for 3BHK,0
+91-7893102645,user73@test.com,675,18-25,Married,370161,18,2.409232838169011,T2,just browsing,0
+91-9348102761,user74@test.com,381,26-35,Married with Kids,536894,1,0.6043705302360558,T2,looking for 3BHK,1
+91-9438254339,user75@test.com,791,18-25,Single,550608,2,2.831308276937845,T2,not interested,0
+91-7793943861,user76@test.com,655,26-35,Married with Kids,657236,11,1.7881999748448596,T2,not interested,1
+91-7134489564,user77@test.com,572,51+,Married with Kids,191529,13,7.103879989153981,T3,call later,0
+91-8931679275,user78@test.com,343,36-50,Single,988200,16,9.69240387773468,T1,looking for 3BHK,0
